10000 998739
0 20 1
0 101 1
0 125 6
0 127 4
0 270 3
0 291 4
0 298 10
0 369 2
0 395 2
0 428 7
0 482 1
0 519 7
0 599 5
0 638 7
0 685 3
0 883 2
0 957 5
0 1027 2
0 1035 10
0 1134 1
0 1169 2
0 1175 4
0 1186 9
0 1392 2
0 1409 2
0 1430 2
0 1739 4
0 1808 2
0 1837 2
0 1875 10
0 1962 6
0 1979 8
0 2051 6
0 2113 2
0 2121 4
0 2123 1
0 2127 5
0 2154 1
0 2222 9
0 2331 10
0 2427 3
0 2517 1
0 2544 5
0 2564 1
0 2569 10
0 2588 5
0 2638 2
0 2736 8
0 2749 1
0 2756 1
0 2826 4
0 2925 2
0 2991 5
0 3208 3
0 3212 9
0 3314 5
0 3330 10
0 3374 2
0 3407 6
0 3518 2
0 3656 5
0 3713 10
0 3740 8
0 3767 6
0 3802 9
0 3845 4
0 3868 4
0 3967 10
0 4034 3
0 4072 1
0 4102 4
0 4153 7
0 4209 3
0 4261 9
0 4351 9
0 4356 2
0 4360 7
0 4364 5
0 4392 5
0 4452 2
0 4498 3
0 4502 2
0 4643 1
0 4707 8
0 4721 9
0 4731 2
0 4737 5
0 4839 6
0 4938 5
0 5010 2
0 5021 3
0 5028 6
0 5103 5
0 5124 3
0 5229 8
0 5246 6
0 5277 5
0 5356 1
0 5396 7
0 5425 7
0 5501 5
0 5601 8
0 5603 8
0 5625 6
0 5716 9
0 5729 3
0 5880 9
0 5968 4
0 6022 2
0 6095 3
0 6251 5
0 6305 1
0 6355 6
0 6530 5
0 6635 8
0 6736 8
0 6753 1
0 6755 6
0 6780 5
0 6842 4
0 6915 2
0 6939 9
0 7105 6
0 7175 1
0 7180 6
0 7213 1
0 7216 5
0 7239 5
0 7244 7
0 7303 10
0 7356 7
0 7392 6
0 7419 6
0 7558 5
0 7591 8
0 7656 9
0 7713 6
0 7727 10
0 7750 6
0 7858 5
0 7892 3
0 7910 1
0 7952 9
0 7983 9
0 8018 8
0 8023 9
0 8061 5
0 8141 6
0 8220 1
0 8278 7
0 8309 9
0 8371 2
0 8399 7
0 8496 3
0 8614 7
0 8704 2
0 8777 4
0 8839 6
0 8878 10
0 8880 8
0 8931 10
0 8984 6
0 9078 5
0 9146 1
0 9166 5
0 9183 5
0 9185 5
0 9238 3
0 9250 3
0 9334 5
0 9412 2
0 9474 9
0 9525 8
0 9615 8
0 9645 1
0 9704 6
0 9712 3
0 9778 2
0 9806 7
0 9810 7
0 9851 4
1 54 2
1 153 4
1 303 5
1 392 1
1 434 1
1 449 9
1 516 9
1 561 9
1 586 1
1 621 4
1 675 1
1 770 6
1 773 3
1 815 4
1 840 10
1 917 6
1 965 2
1 1033 1
1 1080 5
1 1142 5
1 1150 8
1 1161 6
1 1281 4
1 1373 8
1 1447 8
1 1519 4
1 1597 7
1 1634 6
1 1636 9
1 1702 5
1 1761 9
1 1867 8
1 1900 3
1 1931 3
1 2106 8
1 2186 7
1 2234 7
1 2349 5
1 2354 6
1 2569 7
1 2608 7
1 2636 10
1 2662 8
1 2696 7
1 2697 5
1 2715 10
1 2732 1
1 2767 9
1 2806 3
1 2838 3
1 2877 6
1 2919 4
1 2999 3
1 3009 10
1 3072 5
1 3075 6
1 3077 10
1 3121 9
1 3217 6
1 3284 4
1 3310 10
1 3366 9
1 3372 3
1 3502 3
1 3533 10
1 3673 5
1 3696 8
1 3726 4
1 3736 7
1 3813 7
1 3898 7
1 3906 2
1 4000 4
1 4019 1
1 4115 3
1 4173 4
1 4269 9
1 4277 9
1 4322 2
1 4400 2
1 4406 6
1 4476 8
1 4595 2
1 4641 10
1 4671 1
1 4686 5
1 4810 5
1 4831 4
1 4882 8
1 4936 8
1 5015 1
1 5018 2
1 5065 2
1 5102 4
1 5237 9
1 5248 2
1 5272 7
1 5335 9
1 5409 4
1 5529 2
1 5554 2
1 5573 4
1 5577 8
1 5753 1
1 5810 1
1 5833 10
1 5957 10
1 5990 5
1 6001 9
1 6046 3
1 6106 3
1 6177 4
1 6343 4
1 6405 4
1 6418 4
1 6514 5
