100 89
0 20 1
1 3 3
1 27 3
1 29 1
2 75 6
2 96 1
3 7 3
3 78 1
4 9 10
4 42 10
4 96 5
5 39 6
6 26 2
6 65 1
7 20 2
9 37 7
10 22 3
10 92 3
11 12 5
12 24 10
12 59 10
12 65 10
12 76 9
15 27 3
15 44 8
15 65 10
19 48 6
20 38 1
20 67 2
21 27 5
22 37 6
22 54 6
23 50 7
24 37 2
24 45 7
24 47 9
24 51 2
24 78 5
25 72 8
27 36 3
28 61 2
29 81 5
30 39 6
30 59 9
30 64 7
30 83 9
31 65 4
32 96 4
33 43 10
33 50 1
34 55 2
35 90 10
36 93 9
40 68 2
40 72 8
42 59 10
42 75 5
43 63 7
43 96 10
45 98 6
48 80 5
49 87 9
50 65 10
50 92 10
51 79 6
52 75 3
52 98 10
55 62 10
56 86 8
57 82 9
58 71 8
59 82 8
60 99 3
62 76 10
64 95 4
65 66 5
65 70 4
65 74 1
66 69 2
67 97 1
69 82 8
69 86 2
74 92 4
77 87 10
78 80 7
78 90 7
78 96 1
84 93 6
94 97 6
5
4 4
59 82 8
69 86 2
20 38 1
1 3 3
81 25 5
32 8 5
38 64 9
41 98 1
4 4
8 32 5
84 93 6
30 39 6
30 59 9
72 78 1
22 24 6
43 86 8
60 4 3
4 4
45 98 6
12 24 10
67 97 1
43 63 7
68 42 8
52 95 1
66 38 10
92 86 6
4 4
57 82 9
52 95 1
1 29 1
20 67 2
73 87 6
45 8 3
35 3 6
68 21 10
4 4
65 74 1
34 55 2
15 27 3
65 70 4
14 96 5
90 40 1
34 52 2
63 30 6
