500 2437
0 20 2
0 101 1
0 125 1
0 127 2
0 270 8
0 291 6
0 298 3
0 369 2
0 395 7
0 428 1
0 482 6
1 21 1
1 101 6
1 140 6
1 187 2
1 385 7
1 459 1
2 32 1
2 40 4
2 139 6
2 174 3
2 180 3
2 191 9
2 397 3
2 414 6
2 435 9
3 248 7
3 317 3
3 346 9
3 384 10
3 471 1
3 488 1
4 65 7
4 127 8
4 135 3
4 137 2
4 141 6
4 168 7
4 236 7
4 345 3
4 441 9
5 37 8
5 64 2
5 84 8
5 89 1
5 108 3
5 158 10
5 256 10
5 269 4
5 276 10
5 346 8
5 445 10
6 18 2
6 235 4
6 239 10
6 341 5
6 357 5
6 401 9
6 434 6
7 53 8
7 191 9
7 248 2
7 275 6
7 302 8
7 337 8
7 380 5
7 403 8
8 11 3
8 78 4
8 116 10
8 146 10
8 197 3
8 253 7
8 305 10
8 395 7
8 400 2
8 404 2
8 408 7
8 436 8
8 496 10
9 52 1
9 56 2
9 197 9
9 261 10
9 275 3
9 285 10
9 291 3
9 393 7
9 492 7
10 75 8
10 86 4
10 93 10
10 168 4
10 189 10
10 294 3
10 311 7
10 342 5
10 421 10
10 461 9
10 490 6
11 78 10
11 178 1
11 180 3
11 202 4
11 293 7
11 306 8
11 457 10
12 58 5
12 112 9
12 185 6
12 341 2
12 395 5
12 445 4
13 134 4
13 239 6
13 340 6
13 357 3
13 359 4
13 384 4
13 446 1
14 34 1
14 58 2
14 224 4
14 294 7
14 299 2
14 332 10
14 335 1
14 358 7
14 363 6
14 422 8
14 475 4
15 27 4
15 54 8
15 193 1
15 226 4
15 291 8
15 348 6
15 362 6
15 385 1
15 493 3
16 44 9
16 62 4
16 104 9
16 135 10
16 170 4
16 175 8
16 213 9
16 293 3
16 372 6
16 430 2
16 461 9
17 41 5
17 69 2
17 166 5
17 284 1
17 374 7
17 447 5
18 28 9
18 67 4
18 69 9
18 120 3
18 173 7
18 267 9
18 335 2
18 355 7
18 372 1
18 374 7
18 427 7
18 439 7
19 43 3
19 121 6
19 183 10
19 234 9
19 324 4
19 354 10
19 413 3
19 421 6
19 487 9
20 36 3
20 40 5
20 81 2
20 282 5
20 381 9
21 53 4
21 142 2
21 184 1
21 199 4
21 266 2
21 311 3
21 336 10
21 371 6
21 425 4
22 43 2
22 46 5
22 88 10
22 113 7
22 190 5
22 238 6
22 306 6
22 353 4
22 415 10
22 423 8
22 434 4
23 78 9
23 170 5
23 244 7
23 316 1
23 394 6
23 431 10
23 433 8
23 499 2
24 83 7
24 189 8
24 222 6
24 253 4
24 428 10
25 34 5
25 82 8
25 197 5
25 202 8
25 417 10
25 456 5
25 484 6
26 37 10
26 71 10
26 72 4
26 90 5
26 107 3
26 142 4
26 181 5
26 213 6
26 252 10
26 294 4
26 374 2
26 384 5
26 447 2
26 450 4
26 452 10
26 496 7
27 120 3
27 187 10
27 213 2
27 269 7
27 275 7
27 405 2
27 436 9
28 105 2
28 128 4
28 158 9
28 168 10
28 245 8
28 330 3
28 338 4
28 432 2
28 451 10
29 77 7
29 135 1
29 231 2
29 239 9
29 284 9
29 362 2
29 368 10
29 438 4
30 88 10
30 134 8
30 164 5
30 179 1
30 303 2
30 324 2
30 375 5
30 429 1
31 40 10
31 43 4
31 90 1
31 127 4
31 262 1
31 273 7
31 297 1
31 360 7
31 434 7
32 87 1
32 112 4
32 131 3
32 135 8
32 311 8
