3000 89890
0 20 1
0 101 9
0 125 2
0 127 4
0 270 7
0 291 7
0 298 9
0 369 2
0 395 4
0 428 7
0 482 7
0 519 10
0 599 3
0 638 9
0 685 7
0 883 5
0 957 4
0 1027 10
0 1035 3
0 1134 8
0 1169 8
0 1175 6
0 1186 4
0 1392 7
0 1409 5
0 1430 10
0 1739 2
0 1808 5
0 1837 4
0 1875 8
0 1962 3
0 1979 6
0 2051 4
0 2113 1
0 2121 6
0 2123 1
0 2127 2
0 2154 3
0 2222 3
0 2331 6
0 2427 6
0 2517 4
0 2544 2
0 2564 4
0 2569 7
0 2588 5
0 2638 2
0 2736 7
0 2749 5
0 2756 1
0 2826 8
0 2925 4
0 2991 7
1 210 6
1 214 3
1 316 7
1 332 10
1 376 10
1 409 1
1 520 9
1 658 1
1 715 6
1 742 6
1 769 2
1 804 8
1 847 6
1 870 6
1 969 10
1 1036 4
1 1074 8
1 1104 9
1 1155 10
1 1211 1
1 1263 4
1 1353 9
1 1358 6
1 1362 6
1 1366 7
1 1394 7
1 1454 8
1 1500 4
1 1504 6
1 1645 10
1 1709 4
1 1723 3
1 1733 4
1 1739 9
1 1841 8
1 1940 2
1 2012 2
1 2023 5
1 2030 9
1 2105 1
1 2126 7
1 2231 9
1 2248 2
1 2279 1
1 2358 8
1 2398 10
1 2427 10
1 2503 2
1 2603 3
1 2605 5
1 2627 4
1 2718 6
1 2731 2
1 2882 4
1 2970 3
2 27 1
2 100 6
2 256 2
2 310 6
2 360 10
2 535 10
2 640 4
2 741 1
2 758 3
2 760 10
2 785 5
2 847 3
2 920 2
2 944 2
2 1110 9
2 1180 2
2 1185 5
2 1218 8
2 1221 2
2 1244 8
2 1249 7
2 1308 4
2 1361 6
2 1397 2
2 1424 3
2 1563 2
2 1596 10
2 1661 4
2 1718 7
2 1732 2
2 1755 1
2 1863 1
2 1897 5
2 1915 1
2 1957 10
2 1988 6
2 2023 6
2 2028 9
2 2066 3
2 2146 1
2 2225 10
2 2283 10
2 2314 7
2 2376 10
2 2404 7
2 2501 5
2 2619 6
2 2709 2
2 2782 8
2 2844 1
2 2883 7
2 2885 5
2 2936 10
2 2989 10
3 87 4
3 155 10
3 175 5
3 192 5
3 194 2
3 247 10
3 259 2
3 343 10
3 421 10
3 483 6
3 534 3
3 624 6
3 654 4
3 713 2
3 721 8
3 787 7
3 815 3
3 819 2
3 860 3
3 1061 6
3 1160 4
3 1310 4
3 1399 7
3 1441 5
3 1456 1
3 1523 8
3 1568 10
3 1593 5
3 1628 8
3 1682 9
3 1777 10
3 1780 9
3 1822 5
3 1847 2
3 1924 6
