3000 44700
0 20 1
0 125 9
0 270 2
0 291 4
0 298 7
0 369 7
0 395 9
0 428 2
0 482 4
0 685 7
0 883 7
0 1027 10
0 1134 3
0 1169 9
0 1175 7
0 1392 5
0 1808 4
0 1837 10
0 1962 3
0 2113 8
0 2121 8
0 2154 6
0 2222 4
0 2427 7
0 2517 5
0 2544 10
0 2564 2
0 2569 5
0 2588 4
0 2736 8
0 2749 3
0 2756 6
0 2925 4
0 2991 1
1 210 6
1 214 1
1 316 2
1 409 3
1 520 3
1 715 6
1 742 6
1 804 4
1 847 2
1 1036 4
1 1074 7
1 1104 5
1 1155 2
1 1353 7
1 1358 5
1 1362 1
1 1366 8
1 1454 4
1 1500 7
1 1733 6
1 1940 3
1 2012 7
1 2030 10
1 2105 10
1 2231 1
1 2248 9
1 2503 1
1 2605 6
1 2627 6
1 2718 2
1 2882 8
1 2970 6
2 640 6
2 741 10
2 785 4
2 920 8
2 944 9
2 1180 10
2 1185 1
2 1221 4
2 1244 9
2 1308 6
2 1397 6
2 1424 7
2 1563 7
2 1596 8
2 1661 4
2 1755 6
2 1863 10
2 1988 4
2 2023 3
2 2028 4
2 2146 9
2 2225 8
2 2314 2
2 2376 2
2 2404 5
2 2501 9
2 2709 1
2 2844 7
2 2883 9
2 2989 2
3 87 1
3 155 8
3 175 10
3 247 10
3 721 2
3 787 3
3 815 5
3 819 4
3 1399 6
3 1441 2
3 1456 4
3 1628 3
3 1682 1
3 1780 6
3 1847 2
3 1924 6
3 1972 10
3 2288 10
3 2454 4
3 2641 1
3 2709 3
3 2907 10
4 198 5
4 246 3
4 366 2
4 581 2
4 708 9
4 727 2
4 744 5
4 1021 8
4 1084 2
4 1089 8
4 1229 7
4 1322 4
4 1384 6
4 1514 2
4 1545 3
4 1685 2
4 1708 10
4 1825 4
4 1910 7
4 1918 2
4 2012 1
4 2031 1
4 2127 5
4 2185 1
4 2289 10
4 2412 6
4 2418 6
4 2488 9
4 2653 3
4 2698 1
4 2843 10
5 36 10
5 83 7
5 255 10
5 353 7
5 547 5
5 572 6
5 591 2
5 595 8
5 771 1
5 828 7
5 975 5
5 1019 10
5 1753 10
5 1826 4
5 1997 10
5 2039 5
5 2048 5
5 2102 2
5 2136 10
5 2181 2
5 2363 10
5 2618 10
5 2758 6
5 2830 3
5 2934 6
6 220 4
6 327 2
6 337 8
6 398 7
6 399 3
6 406 2
6 484 3
6 529 6
6 597 4
6 704 4
6 799 7
6 1036 5
6 1064 1
6 1089 8
6 1162 10
6 1230 5
6 1269 8
6 1383 9
6 1392 10
6 1404 9
6 1582 5
6 1669 2
6 1704 6
6 1754 7
6 1767 10
6 1796 10
6 1843 1
6 2021 7
6 2117 8
6 2165 4
6 2194 8
6 2225 10
6 2436 7
6 2543 9
6 2734 2
6 2754 8
6 2774 2
6 2845 3
6 2870 10
7 61 7
7 102 9
7 137 7
7 250 1
7 300 3
7 307 7
7 395 10
7 446 8
7 457 4
7 512 2
7 529 6
7 553 8
7 701 8
7 731 1
7 859 5
7 1213 10
7 1298 5
7 1320 6
7 1359 9
7 1440 8
7 1557 2
7 1711 8
7 1813 4
7 1824 9
7 1877 6
7 1993 10
7 2000 8
7 2062 10
7 2074 3
7 2086 7
7 2254 5
7 2293 5
7 2333 1
7 2387 5
7 2499 8
7 2674 7
7 2716 8
7 2756 1
7 2827 10
7 2982 2
8 19 8
8 37 8
8 47 6
8 248 3
8 260 1
8 625 10
8 699 2
8 767 10
