10000 250012
0 125 1
0 291 1
0 369 6
0 395 4
0 685 3
0 1027 4
0 1962 10
0 2517 2
0 2544 2
0 2564 7
0 2756 1
0 2925 7
0 2991 5
0 3314 7
0 3407 3
0 3518 2
0 3845 5
0 4102 2
0 4351 10
0 4498 1
0 5010 2
0 5103 4
0 5229 9
0 5501 2
0 5625 2
0 5880 2
0 5968 4
0 7175 2
0 7180 2
0 7216 10
0 7419 6
0 7750 8
0 7983 6
0 8141 2
0 8309 4
0 8704 1
0 8839 5
0 8878 1
0 9166 9
0 9712 10
0 9810 3
1 449 1
1 840 5
1 965 1
1 1447 10
1 1900 5
1 2234 2
1 2354 8
1 2715 1
1 3072 1
1 3077 4
1 3217 2
1 3502 5
1 3696 3
1 3813 9
1 3906 5
1 4019 10
1 4115 2
1 4173 6
1 4400 2
1 4406 5
1 4476 10
1 4641 8
1 4686 6
1 4831 9
1 5018 4
1 5065 4
1 5237 10
1 5335 3
1 5753 1
1 6001 4
1 6979 7
1 7030 3
1 7084 9
1 7163 9
1 7600 2
1 7740 7
1 7812 5
1 8195 5
1 8312 2
1 8373 3
1 8381 2
1 8572 1
1 9011 8
1 9064 9
1 9367 2
1 9379 5
1 9644 6
1 9679 5
1 9742 2
1 9818 3
2 143 6
2 521 5
2 712 3
2 752 8
2 848 6
2 1072 5
2 1107 1
2 1365 7
2 1499 7
2 1523 5
2 1671 8
2 1829 8
2 2183 6
2 2268 9
2 2329 3
2 2410 9
2 2527 4
2 2681 2
2 2794 3
2 2970 5
2 3032 1
2 3056 6
2 3303 5
2 3357 8
2 3644 8
2 3686 1
2 3726 6
2 3797 5
2 3952 4
2 3998 2
2 4008 9
2 4209 6
2 4728 1
2 4788 6
2 4911 1
2 5089 5
2 6042 5
2 6106 7
2 6368 10
2 6444 7
2 6752 6
2 6816 6
2 7070 5
2 7074 8
2 7107 9
2 7288 6
2 7581 10
2 7630 6
2 7806 5
2 7882 3
2 7967 1
2 8133 9
2 8175 9
2 8203 8
2 8275 9
2 8367 5
2 9256 6
2 9571 1
2 9739 7
2 9777 9
2 9781 2
3 299 7
3 499 3
3 599 7
3 797 2
3 1063 4
3 1192 6
3 1255 10
3 1348 8
3 1415 10
3 1738 6
3 1787 5
3 2051 1
3 2783 5
3 2819 5
3 2973 5
3 3244 3
3 3320 3
3 3411 5
3 3587 2
3 3709 9
3 3960 8
3 4025 8
3 4102 1
3 4249 6
3 4746 3
3 4912 2
3 4937 7
3 5291 7
3 5394 4
3 5585 2
3 5779 4
3 5845 5
3 5936 1
3 6050 1
3 6452 9
3 6739 9
3 6789 9
3 7029 1
3 7289 4
3 7382 1
3 7729 6
3 7960 3
3 8524 4
3 9094 10
3 9140 6
3 9380 2
3 9540 1
3 9888 5
3 9898 5
3 9992 8
4 46 6
4 215 4
4 286 8
4 495 8
4 715 4
4 756 7
4 1112 6
4 1221 9
4 1297 5
4 1312 9
4 1339 8
4 1367 3
4 1584 3
4 1951 8
4 2076 7
4 2086 7
4 2415 5
4 2423 6
4 2464 7
4 2624 7
4 2637 10
4 2775 8
4 2890 7
4 2944 5
4 2981 10
4 2986 1
4 3096 9
4 3236 3
4 3511 3
4 3552 6
4 3672 4
4 3897 3
4 4283 10
4 4372 5
4 4420 6
4 4488 10
4 4549 9
4 4921 6
4 5247 4
4 5257 10
4 5272 9
4 5442 3
4 5486 3
4 5621 10
4 5822 5
4 5957 8
4 6104 4
4 6180 7
4 6424 7
4 6690 7
4 6844 2
4 6939 4
4 6956 1
4 7483 3
4 7887 4
4 7891 9
4 7902 9
4 7946 2
4 7964 2
4 7979 6
4 8676 8
4 9148 2
4 9291 10
4 9303 1
4 9441 5
4 9782 5
4 9804 4
5 442 8
5 463 8
5 932 1
5 1077 2
5 1334 2
5 1342 4
5 1382 9
5 1761 2
5 1840 7
5 2135 9
5 2292 4
5 2629 2
5 2632 2
5 3044 4
5 3310 8
5 3550 1
5 3806 1
5 4975 10
5 5192 10
5 5211 5
5 5631 9
5 5691 3
5 5756 3
5 6067 4
5 6275 4
5 6278 4
5 6309 4
5 6476 5
5 6502 3
5 6923 3
5 7066 10
5 7091 5
5 7376 10
5 7645 8
5 7714 2
5 7851 5
5 8035 4
5 8060 1
5 8174 10
5 8495 6
5 8697 8
5 8731 5
5 8863 8
6 895 3
6 917 8
6 1018 3
6 1145 6
6 1397 7
6 1480 4
6 1654 10
6 1668 5
6 1856 3
6 1871 6
6 2176 6
6 2812 5
6 3129 5
6 3597 9
6 4094 1
6 4570 4
6 4615 2
6 4729 7
6 5643 7
6 6047 2
6 6137 4
6 6650 9
6 6817 1
6 6848 8
6 7161 4
6 7179 10
6 7222 6
6 7226 8
6 7390 6
6 7393 2
6 7689 4
6 7746 3
6 7866 7
6 8066 5
6 8625 6
6 9029 9
6 9061 5
6 9340 4
6 9401 1
6 9465 6
6 9597 10
6 9620 5
6 9664 8
6 9926 10
7 123 6
7 173 2
7 285 7
7 337 9
7 561 9
7 1129 9
7 1437 6
7 1531 7
7 1559 2
7 1610 5
7 2244 5
7 2415 7
7 2438 8
7 2667 5
7 2770 3
7 3029 9
7 3064 5
7 3662 4
7 3921 2
7 4279 10
7 4467 3
7 4657 8
7 4710 10
7 4903 6
7 4915 1
7 5077 3
7 5101 3
7 5481 1
7 5708 4
7 5792 5
7 6106 6
7 6111 8
7 6433 4
7 6614 6
7 6992 8
7 7101 6
7 7113 7
7 7331 9
7 7803 9
7 8034 3
7 8140 1
7 8385 4
7 8418 1
7 8435 8
7 8511 7
7 8939 9
7 9087 10
7 9385 4
7 9478 3
7 9562 7
